timePeriod,currentTemperature,currentHumidity,currentCO2,currentLight,currentNoise,maxTemp,minTemp,meanTemp,maxHumidity,minHumidity,meanHumidity,maxCO2,minCO2,meanCO2,maxLight,minLight,meanLight,maxNoise,minNoise,meanNoise,rating
2026-04-11 09:17:00 to 2026-04-11 09:47:00,21,41,1116,669,33,24,21,22.26,52,41,46.77,1290,827,1010.74,688,668,677.06,50,30,38.48,3
2026-04-11 12:56:00 to 2026-04-11 13:26:00,26,49,485,775,42,27,26,26.11,54,48,50.67,634,402,485.96,789,769,779.44,58,41,50.07,4
2026-04-11 15:39:00 to 2026-04-11 16:09:00,23,53,1431,493,54,27,23,24.61,56,38,47.94,1431,617,963.77,502,484,491.84,63,45,53.35,1
2026-04-14 00:05:00 to 2026-04-14 00:35:00,25,48,1084,588,53,25,23,24.16,50,42,45.13,1084,604,752.52,589,569,579.81,61,41,51.45,1
2026-04-14 11:43:00 to 2026-04-14 12:13:00,24,60,681,294,53,25,24,24.07,61,58,59.5,687,568,624.79,298,282,290.57,61,43,53.86,3
2026-04-16 21:26:00 to 2026-04-16 21:56:00,28,57,1053,533,60,29,25,26.42,62,49,54.55,1461,746,981.94,548,528,537.71,60,42,50.9,2
2026-04-17 07:31:00 to 2026-04-17 08:01:00,21,56,1530,683,52,24,20,21.52,60,48,53.68,1647,901,1177.23,703,683,693.26,63,43,51.61,1
2026-04-18 15:51:00 to 2026-04-18 16:21:00,22,44,796,758,45,22,21,21.09,47,43,44.64,895,642,725.18,763,744,754.32,58,38,47.32,3
2026-04-19 23:30:00 to 2026-04-20 00:00:00,22,62,1162,766,59,23,20,21.81,63,49,55.71,1561,857,1128.19,784,765,774.16,77,57,64.55,3
2026-04-20 01:30:00 to 2026-04-20 02:00:00,25,65,1233,738,35,27,24,25.45,66,52,59.97,1253,510,793.84,753,733,741.45,48,31,39.87,2
2026-04-21 07:28:00 to 2026-04-21 07:58:00,20,70,937,535,62,20,17,18.55,71,56,61.84,1177,522,839.84,546,528,536.03,66,47,55.55,3
2026-04-21 12:54:00 to 2026-04-21 13:24:00,26,45,801,499,44,26,25,25.08,46,40,42.84,960,638,731.88,508,488,496.52,45,26,36.12,4
2026-04-21 19:19:00 to 2026-04-21 19:49:00,25,59,1377,672,61,25,23,23.48,59,47,52.23,1441,852,1102.61,678,659,667.29,79,59,68.13,1
2026-04-23 02:00:00 to 2026-04-23 02:30:00,19,59,803,483,72,19,18,18.29,59,53,54.97,1116,729,860.0,492,473,481.97,76,58,67.29,1
2026-04-24 10:47:00 to 2026-04-24 11:17:00,18,51,1004,564,64,23,18,19.71,53,33,42.45,1597,607,1032.74,576,556,566.48,77,58,69.55,1
2026-04-25 22:02:00 to 2026-04-25 22:32:00,20,50,876,366,52,23,17,19.84,59,33,43.81,1784,735,1215.71,369,349,358.39,65,46,54.26,3
2026-04-26 06:04:00 to 2026-04-26 06:34:00,25,64,880,351,42,26,24,25.29,65,58,60.81,1087,659,806.03,369,349,357.42,47,27,38.45,3
2026-04-28 12:29:00 to 2026-04-28 12:59:00,25,56,1372,493,42,27,24,25.68,68,52,59.29,1372,667,945.13,493,474,482.71,49,29,39.13,2
2026-04-28 16:36:00 to 2026-04-28 17:06:00,22,52,713,708,46,22,22,22.0,53,52,52.14,776,701,726.57,725,708,716.43,47,31,41.57,5
2026-04-30 19:37:00 to 2026-04-30 20:07:00,18,40,853,791,37,18,18,18.0,40,40,40.0,853,791,817.5,793,778,784.88,46,27,38.5,4
2026-04-30 23:36:00 to 2026-05-01 00:06:00,25,37,1159,615,78,26,22,24.0,50,36,42.9,1444,725,1097.58,628,608,617.65,79,60,69.45,1
2026-05-02 09:42:00 to 2026-05-02 10:12:00,21,49,803,442,56,21,21,21.0,51,49,49.31,831,721,765.62,442,426,432.92,57,39,47.92,4
2026-05-04 13:12:00 to 2026-05-04 13:42:00,19,48,833,458,60,21,19,20.32,58,47,51.19,1045,573,734.74,465,445,456.16,62,43,53.0,4
2026-05-07 00:35:00 to 2026-05-07 01:05:00,18,35,812,454,48,18,18,18.0,35,35,35.0,812,744,769.67,464,451,457.67,64,46,54.33,3
2026-05-08 05:49:00 to 2026-05-08 06:19:00,27,56,661,505,72,27,26,26.15,56,52,52.9,723,494,584.9,506,487,496.25,79,60,70.45,1
2026-05-08 17:46:00 to 2026-05-08 18:16:00,21,69,1561,742,51,21,17,18.9,71,53,62.52,1610,801,1185.81,748,728,738.1,60,40,49.0,2
2026-05-09 23:39:00 to 2026-05-10 00:09:00,21,47,686,686,77,21,21,21.0,48,47,47.1,686,558,602.0,704,686,694.9,77,57,68.1,4
2026-05-10 06:53:00 to 2026-05-10 07:23:00,24,38,920,564,63,25,24,24.08,39,35,37.12,973,725,818.04,579,559,570.17,77,59,70.17,3
2026-05-10 12:34:00 to 2026-05-10 13:04:00,26,39,605,465,45,26,26,26.0,39,38,38.2,625,587,604.2,468,457,462.6,45,43,43.8,5
