timePeriod,currentTemperature,currentHumidity,currentCO2,currentLight,currentNoise,maxTemp,minTemp,meanTemp,maxHumidity,minHumidity,meanHumidity,maxCO2,minCO2,meanCO2,maxLight,minLight,meanLight,maxNoise,minNoise,meanNoise,rating
2026-04-27 09:46:00 to 2026-04-27 10:16:00,20,40,653,330,65,21,20,20.06,42,39,40.41,753,583,657.65,330,311,318.71,69,52,63.12,4
2026-04-29 14:40:00 to 2026-04-29 15:10:00,24,47,829,344,64,24,24,24.0,47,45,46.09,854,749,787.09,363,343,351.18,70,50,60.09,2
2026-04-30 17:32:00 to 2026-04-30 18:02:00,24,51,650,784,66,24,24,24.0,51,51,51.0,650,631,638.33,784,769,778.0,66,56,60.67,3
2026-04-30 18:49:00 to 2026-04-30 19:19:00,19,43,875,302,28,19,19,19.0,44,40,41.7,940,722,792.95,302,284,291.8,48,28,36.65,5
2026-05-01 01:36:00 to 2026-05-01 02:06:00,26,45,619,626,43,26,26,26.0,45,45,45.0,619,538,561.43,645,626,633.71,45,33,38.43,4
2026-05-01 07:38:00 to 2026-05-01 08:08:00,25,56,902,609,40,25,25,25.0,56,56,56.0,902,784,822.22,609,590,599.0,47,31,38.89,5
2026-05-01 15:52:00 to 2026-05-01 16:22:00,26,68,1117,545,43,28,23,25.26,70,47,59.06,1579,692,1134.84,552,533,541.03,55,35,45.61,2
2026-05-02 22:35:00 to 2026-05-02 23:05:00,22,50,696,566,42,22,22,22.0,50,50,50.0,696,628,650.83,573,566,568.67,60,42,48.17,5
2026-05-05 02:15:00 to 2026-05-05 02:45:00,25,39,892,328,50,26,23,24.45,49,38,42.35,1009,450,672.71,343,323,334.39,56,36,44.74,3
2026-05-06 10:53:00 to 2026-05-06 11:23:00,24,40,897,683,72,24,23,23.29,41,37,38.5,897,564,665.88,694,675,682.17,76,57,66.92,2
2026-05-08 15:31:00 to 2026-05-08 16:01:00,25,45,1375,327,55,28,24,25.74,46,31,37.94,1417,682,1012.1,342,323,332.61,64,44,54.1,1
2026-05-10 01:33:00 to 2026-05-10 02:03:00,23,53,530,496,69,23,23,23.0,53,53,53.0,530,512,522.0,496,479,486.75,69,54,59.5,4
2026-05-11 12:31:00 to 2026-05-11 13:01:00,18,50,592,690,56,18,18,18.0,50,50,50.0,592,578,585.0,690,689,689.5,56,55,55.5,2
2026-05-12 19:24:00 to 2026-05-12 19:54:00,24,36,585,613,61,27,24,25.45,46,32,38.45,1104,499,753.61,613,594,605.23,61,42,51.48,2
2026-05-14 03:43:00 to 2026-05-14 04:13:00,19,51,919,305,65,19,19,19.0,51,48,49.36,919,728,780.5,324,305,313.71,79,59,68.21,3
2026-05-16 10:55:00 to 2026-05-16 11:25:00,26,42,792,280,44,27,26,26.23,46,40,42.88,923,635,733.92,295,275,286.23,64,44,54.54,3
2026-05-18 19:35:00 to 2026-05-18 20:05:00,26,44,670,529,43,26,26,26.0,45,44,44.17,670,596,618.67,531,518,523.0,43,29,37.17,4
2026-05-20 21:35:00 to 2026-05-20 22:05:00,22,52,488,513,44,22,22,22.0,52,51,51.33,493,437,465.5,530,510,520.67,47,33,41.83,5
2026-05-21 10:18:00 to 2026-05-21 10:48:00,25,35,1015,640,59,25,23,23.74,44,34,38.26,1052,624,790.74,650,632,640.61,75,56,66.16,1
2026-05-22 10:56:00 to 2026-05-22 11:26:00,26,37,774,599,65,26,25,25.22,41,37,38.74,774,425,535.96,600,580,590.41,80,61,70.0,1
2026-05-22 11:49:00 to 2026-05-22 12:19:00,27,54,750,442,62,28,24,26.08,58,36,49.38,1301,554,800.95,599,440,518.72,80,58,70.0,1
2026-05-23 21:07:00 to 2026-05-23 21:37:00,27,56,1163,772,61,28,25,26.13,57,49,52.16,1163,736,905.84,781,761,770.16,78,58,67.48,1
2026-05-25 07:50:00 to 2026-05-25 08:20:00,25,48,1080,740,49,29,25,27.26,61,42,50.32,1741,779,1206.84,752,732,742.52,49,29,38.55,3
2026-05-27 11:33:00 to 2026-05-27 12:03:00,26,34,1276,668,46,26,22,23.84,48,34,40.71,1414,711,1049.65,670,651,659.65,51,31,41.81,1
2026-05-28 17:32:00 to 2026-05-28 18:02:00,28,54,1086,576,36,28,24,25.39,69,53,59.74,1547,870,1144.97,577,557,566.23,46,26,36.48,2
2026-05-30 00:04:00 to 2026-05-30 00:34:00,20,38,782,532,51,21,20,20.19,45,37,41.1,983,729,835.52,536,516,524.68,60,42,49.81,3
2026-06-01 07:38:00 to 2026-06-01 08:08:00,20,59,640,495,33,20,20,20.0,60,59,59.22,702,616,649.67,499,481,491.22,51,33,41.44,4
2026-06-02 14:30:00 to 2026-06-02 15:00:00,19,59,588,633,35,19,19,19.0,59,59,59.0,588,588,588.0,633,633,633.0,35,35,35.0,5
2026-06-02 18:08:00 to 2026-06-02 18:38:00,21,47,1145,786,63,21,18,19.58,47,37,40.97,1221,753,939.42,804,785,793.32,65,47,56.0,2
2026-06-02 19:47:00 to 2026-06-02 20:17:00,23,40,752,460,46,23,23,23.0,40,38,38.56,752,576,643.28,462,442,453.33,50,30,40.17,3
2026-06-04 22:32:00 to 2026-06-04 23:02:00,19,40,653,389,43,19,19,19.0,40,40,40.0,653,624,638.0,389,378,382.67,43,34,39.0,5
2026-06-06 06:34:00 to 2026-06-06 07:04:00,23,41,799,395,30,23,23,23.0,41,40,40.2,804,768,787.0,402,384,391.2,47,30,37.4,5
2026-06-06 18:57:00 to 2026-06-06 19:27:00,25,41,817,740,52,25,24,24.25,47,40,42.46,959,704,802.79,750,731,741.68,58,39,48.96,3
2026-06-07 04:31:00 to 2026-06-07 05:01:00,19,66,785,734,65,22,18,19.74,66,54,59.81,1223,639,905.81,751,731,741.29,79,60,68.77,1
2026-06-09 13:15:00 to 2026-06-09 13:45:00,23,62,1041,676,60,24,21,22.68,62,51,56.06,1312,785,989.81,692,673,683.55,78,58,67.06,3
2026-06-10 14:40:00 to 2026-06-10 15:10:00,21,61,821,672,34,21,21,21.0,61,59,59.36,821,703,742.45,679,662,671.18,47,27,35.0,3
2026-06-12 19:47:00 to 2026-06-12 20:17:00,21,60,898,490,59,21,21,21.0,62,58,59.72,898,658,744.94,506,486,493.67,66,48,57.78,3
2026-06-14 23:44:00 to 2026-06-15 00:14:00,25,36,789,619,69,25,25,25.0,39,36,37.2,845,732,771.33,631,611,618.87,70,53,63.27,1
2026-06-17 05:30:00 to 2026-06-17 06:00:00,23,58,687,289,54,23,23,23.0,58,58,58.0,687,687,687.0,289,289,289.0,54,54,54.0,5
2026-06-17 13:50:00 to 2026-06-17 14:20:00,24,58,881,471,36,25,20,22.71,58,37,47.97,1529,554,975.16,483,463,474.06,49,31,38.9,3
2026-06-19 22:38:00 to 2026-06-19 23:08:00,20,48,1169,305,66,22,18,19.81,63,47,53.65,1503,820,1202.55,307,289,298.68,77,58,69.19,2
2026-06-20 00:52:00 to 2026-06-20 01:22:00,25,56,891,730,65,26,25,25.09,59,55,56.43,891,597,702.48,737,717,728.65,74,54,64.39,3
2026-06-20 02:59:00 to 2026-06-20 03:29:00,20,59,705,407,59,20,19,19.23,63,57,60.17,772,414,539.37,425,406,415.37,77,57,64.77,5
2026-06-22 11:04:00 to 2026-06-22 11:34:00,24,55,477,475,50,25,23,24.19,61,55,57.65,812,424,554.35,485,466,474.45,70,50,60.77,5
2026-06-23 22:37:00 to 2026-06-23 23:07:00,19,49,752,577,34,19,19,19.0,49,48,48.12,762,711,738.25,588,573,581.0,54,34,40.75,5
2026-06-24 03:48:00 to 2026-06-24 04:18:00,23,46,562,635,51,24,23,23.05,50,46,47.42,606,462,524.42,647,629,638.74,51,31,38.89,3
2026-06-25 10:42:00 to 2026-06-25 11:12:00,22,40,828,531,44,23,22,22.08,40,38,38.38,918,779,828.0,540,524,532.46,44,26,33.54,5
2026-06-26 19:35:00 to 2026-06-26 20:05:00,20,63,1480,272,46,22,19,20.87,63,47,53.81,1480,855,1144.84,291,271,279.71,65,45,55.23,2
2026-06-29 07:34:00 to 2026-06-29 08:04:00,22,44,960,779,42,23,19,20.94,54,38,46.52,1264,592,881.39,787,770,776.68,52,37,44.81,4
2026-06-29 15:11:00 to 2026-06-29 15:41:00,27,59,1177,300,59,28,25,26.39,67,55,60.58,1177,756,882.74,316,297,306.29,64,44,52.06,1
2026-07-01 22:32:00 to 2026-07-01 23:02:00,24,56,445,232,69,24,24,24.0,56,56,56.0,447,436,442.67,232,219,223.67,69,58,64.0,4
2026-07-04 06:38:00 to 2026-07-04 07:08:00,22,60,827,508,57,22,22,22.0,61,60,60.33,827,753,784.67,524,507,513.56,59,48,53.78,4
2026-07-05 15:32:00 to 2026-07-05 16:02:00,23,55,727,258,65,23,23,23.0,55,55,55.0,727,718,722.33,261,251,256.67,66,56,62.33,4
2026-07-07 19:30:00 to 2026-07-07 20:00:00,23,40,565,739,63,23,23,23.0,40,40,40.0,565,565,565.0,739,739,739.0,63,63,63.0,2
2026-07-08 08:02:00 to 2026-07-08 08:32:00,17,50,735,234,34,20,17,18.26,50,42,45.06,767,440,581.68,249,229,239.61,46,26,34.26,5
2026-07-08 17:48:00 to 2026-07-08 18:18:00,25,61,773,351,58,26,25,25.05,62,59,60.42,978,734,814.05,358,339,348.16,64,44,57.21,3
2026-07-10 01:19:00 to 2026-07-10 01:49:00,21,48,1373,420,40,21,19,19.81,54,43,49.0,1396,853,1083.87,437,418,427.26,53,33,42.87,2
2026-07-11 02:38:00 to 2026-07-11 03:08:00,22,42,536,359,79,22,22,22.0,43,42,42.11,536,448,490.0,364,347,354.44,79,62,71.56,2
2026-07-12 09:06:00 to 2026-07-12 09:36:00,25,41,1036,411,38,26,25,25.48,43,35,38.39,1036,588,712.68,420,400,409.81,48,32,39.39,2
2026-07-12 10:39:00 to 2026-07-12 11:09:00,20,45,723,332,31,20,20,20.0,45,44,44.4,723,616,645.9,343,329,336.3,42,28,34.8,4
2026-07-13 12:57:00 to 2026-07-13 13:27:00,21,52,938,443,68,21,20,20.36,53,46,48.54,994,758,854.86,453,434,444.93,74,55,64.82,3
2026-07-14 19:45:00 to 2026-07-14 20:15:00,19,38,638,520,55,19,18,18.06,41,38,39.38,710,550,607.88,529,509,518.75,59,39,47.12,2
2026-07-15 02:04:00 to 2026-07-15 02:34:00,20,45,1006,756,40,20,19,19.45,45,39,42.74,1188,731,880.13,771,751,760.39,59,39,48.71,4
2026-07-16 14:26:00 to 2026-07-16 14:56:00,27,50,1354,366,51,29,25,26.45,57,45,51.55,1494,834,1119.23,385,365,373.32,65,46,55.06,1
2026-07-18 01:38:00 to 2026-07-18 02:08:00,20,58,739,341,59,20,20,20.0,58,57,57.33,765,691,726.78,346,328,335.22,75,59,66.56,3
2026-07-18 02:38:00 to 2026-07-18 03:08:00,19,41,540,411,42,19,19,19.0,42,41,41.22,540,448,477.0,431,411,420.22,57,38,49.33,3
2026-07-19 07:42:00 to 2026-07-19 08:12:00,26,42,574,659,59,27,26,26.08,44,42,43.23,574,439,495.92,664,651,658.62,75,56,63.0,4
2026-07-21 19:18:00 to 2026-07-21 19:48:00,21,39,1313,360,69,24,21,22.71,50,39,44.68,1313,707,957.39,373,353,362.55,70,50,60.77,1
2026-07-23 20:37:00 to 2026-07-23 21:07:00,18,41,866,393,63,22,18,19.55,52,35,43.61,1295,555,886.35,395,375,382.19,70,51,60.45,1
2026-07-25 20:36:00 to 2026-07-25 21:06:00,20,46,688,508,38,20,20,20.0,46,46,46.0,720,665,684.0,511,496,506.0,51,38,45.86,4
2026-07-27 23:49:00 to 2026-07-28 00:19:00,25,59,1828,354,32,27,22,24.26,59,38,46.39,1828,798,1249.39,356,336,346.32,52,32,41.97,2
2026-07-30 02:40:00 to 2026-07-30 03:10:00,21,49,743,590,31,21,21,21.0,50,48,49.0,776,676,711.55,605,585,596.27,46,28,37.36,5
2026-07-30 06:23:00 to 2026-07-30 06:53:00,23,52,1113,633,49,24,21,22.71,64,51,56.39,1345,750,976.03,645,626,636.03,62,42,51.23,3
2026-07-31 18:15:00 to 2026-07-31 18:45:00,21,41,1271,748,61,23,21,21.48,47,37,42.42,1271,706,898.74,756,736,745.81,78,58,65.81,1
2026-08-02 00:13:00 to 2026-08-02 00:43:00,24,53,659,491,61,25,22,23.39,53,42,46.87,1077,550,734.03,495,475,486.71,63,43,52.06,4
2026-08-04 08:31:00 to 2026-08-04 09:01:00,26,59,714,355,54,26,26,26.0,59,59,59.0,714,700,707.0,355,354,354.5,54,49,51.5,4
2026-08-05 16:48:00 to 2026-08-05 17:18:00,28,54,1402,269,59,29,24,26.16,61,41,50.74,1786,837,1205.19,286,266,277.71,66,46,57.1,1
2026-08-06 21:32:00 to 2026-08-06 22:02:00,23,35,547,732,56,23,23,23.0,35,35,35.0,547,520,532.0,737,730,733.0,71,56,63.67,5
2026-08-09 05:37:00 to 2026-08-09 06:07:00,24,60,468,438,63,24,24,24.0,60,58,59.12,501,427,458.0,451,433,442.5,77,63,71.88,3
2026-08-11 11:31:00 to 2026-08-11 12:01:00,19,44,713,806,52,19,19,19.0,44,44,44.0,713,708,710.5,806,790,798.0,54,52,53.0,4
2026-08-11 14:52:00 to 2026-08-11 15:22:00,19,47,820,659,79,20,19,19.09,51,45,47.3,1012,773,864.65,671,651,661.09,79,60,70.26,1
2026-08-11 18:36:00 to 2026-08-11 19:06:00,21,36,674,566,59,21,21,21.0,36,35,35.29,674,635,651.57,582,566,573.86,64,50,55.86,5
2026-08-13 02:58:00 to 2026-08-13 03:28:00,19,58,910,622,47,20,19,19.17,61,56,58.48,923,571,688.72,630,611,620.79,50,31,41.14,3
2026-08-15 04:36:00 to 2026-08-15 05:06:00,19,42,510,510,49,19,19,19.0,44,42,43.14,510,442,459.14,520,502,510.57,56,44,50.71,3
2026-08-15 11:02:00 to 2026-08-15 11:32:00,21,46,737,642,36,22,21,21.29,49,42,45.61,920,594,717.65,642,622,632.68,46,29,37.23,4
2026-08-17 12:48:00 to 2026-08-17 13:18:00,21,45,1024,532,33,22,18,19.94,56,34,44.23,1747,889,1250.13,550,530,539.61,47,27,38.39,3
2026-08-19 19:38:00 to 2026-08-19 20:08:00,23,48,731,623,49,23,23,23.0,49,48,48.22,738,680,707.78,641,621,632.44,58,41,47.56,5
2026-08-22 03:00:00 to 2026-08-22 03:30:00,26,60,879,352,59,26,25,25.19,65,58,61.06,879,442,596.65,361,341,350.65,72,55,64.13,3
2026-08-24 10:33:00 to 2026-08-24 11:03:00,18,46,620,694,68,18,18,18.0,46,46,46.0,630,610,618.75,694,680,686.0,68,56,60.75,2
2026-08-24 16:50:00 to 2026-08-24 17:20:00,27,47,643,483,53,27,26,26.19,47,43,44.71,776,496,592.38,494,474,484.71,71,51,61.05,3
2026-08-26 22:38:00 to 2026-08-26 23:08:00,18,48,567,523,28,18,18,18.0,49,48,48.33,575,484,521.56,524,504,514.89,45,28,36.56,5
2026-08-28 06:36:00 to 2026-08-28 07:06:00,19,36,585,517,45,19,19,19.0,36,35,35.14,585,535,563.57,533,517,523.0,62,45,55.43,4
2026-08-28 11:31:00 to 2026-08-28 12:01:00,20,53,799,748,43,20,20,20.0,53,53,53.0,799,788,793.5,755,748,751.5,43,34,38.5,4
2026-08-28 13:10:00 to 2026-08-28 13:40:00,23,50,824,360,63,25,23,23.48,57,50,53.42,1039,506,705.55,375,355,366.74,67,47,57.03,3
2026-08-30 18:45:00 to 2026-08-30 19:15:00,24,50,637,792,44,25,24,24.06,50,47,48.25,654,470,547.56,792,774,783.94,61,44,52.44,5
2026-09-02 03:47:00 to 2026-09-02 04:17:00,27,49,686,304,53,27,26,26.11,51,48,49.56,818,628,695.5,321,304,310.11,68,49,59.06,2
2026-09-03 09:04:00 to 2026-09-03 09:34:00,27,40,994,496,72,27,26,26.23,46,39,41.9,994,610,753.29,507,487,497.03,76,57,67.0,2
2026-09-03 14:29:00 to 2026-09-03 14:59:00,25,71,800,710,52,26,22,24.1,71,57,63.1,1343,648,983.32,720,700,709.81,52,32,42.26,3
2026-09-04 00:38:00 to 2026-09-04 01:08:00,19,36,639,203,40,19,19,19.0,36,35,35.44,639,566,598.22,218,201,207.11,45,26,35.67,5
2026-09-04 06:58:00 to 2026-09-04 07:28:00,23,44,961,592,58,23,22,22.1,50,43,45.52,961,663,773.9,607,588,596.28,71,51,59.55,3
2026-09-06 13:57:00 to 2026-09-06 14:27:00,22,46,1188,305,39,22,17,18.94,58,39,47.26,1737,939,1348.87,319,299,310.42,55,35,42.97,2
2026-09-07 16:06:00 to 2026-09-07 16:36:00,20,47,819,461,64,21,19,19.35,51,45,47.87,1168,715,879.61,478,458,466.97,66,46,55.77,3
2026-09-09 03:03:00 to 2026-09-09 03:33:00,18,56,733,618,40,19,18,18.29,56,48,50.84,888,518,638.48,626,606,616.1,54,34,44.35,3
2026-09-10 05:48:00 to 2026-09-10 06:18:00,26,49,690,425,39,27,26,26.11,53,49,50.42,703,539,603.58,427,408,418.11,56,38,45.53,5
2026-09-12 17:58:00 to 2026-09-12 18:28:00,24,62,914,573,54,25,24,24.1,62,56,59.0,914,597,701.03,588,568,578.62,65,46,56.34,2
2026-09-13 18:46:00 to 2026-09-13 19:16:00,20,49,720,437,37,21,20,20.12,49,47,48.06,769,594,664.71,440,422,430.65,49,30,39.29,4
2026-09-13 19:57:00 to 2026-09-13 20:27:00,21,42,937,689,38,23,18,21.07,64,39,45.9,1784,607,998.71,706,420,555.78,49,30,40.88,5
2026-09-14 06:43:00 to 2026-09-14 07:13:00,22,61,620,687,56,23,22,22.07,62,59,60.29,620,426,479.5,705,685,694.71,72,53,60.0,5
2026-09-14 12:13:00 to 2026-09-14 12:43:00,24,53,872,258,36,24,22,23.35,53,43,47.74,937,543,692.97,259,241,249.68,55,35,45.55,5
2026-09-14 20:44:00 to 2026-09-14 21:14:00,23,48,780,663,60,23,23,23.0,48,46,46.67,879,742,788.73,672,654,662.47,68,50,58.6,2
2026-09-15 01:32:00 to 2026-09-15 02:02:00,28,58,1155,638,62,29,25,26.71,67,51,58.1,1227,582,912.39,647,628,636.9,78,61,68.84,1
2026-09-15 12:52:00 to 2026-09-15 13:22:00,20,42,977,613,52,20,19,19.13,42,38,39.65,978,717,817.13,625,606,614.43,61,43,51.91,4
2026-09-16 21:30:00 to 2026-09-16 22:00:00,21,40,1256,272,51,23,19,20.9,53,37,44.19,1354,727,999.74,279,263,271.16,55,35,46.81,3
2026-09-18 07:45:00 to 2026-09-18 08:15:00,26,55,671,432,38,27,26,26.06,58,54,55.25,789,587,658.31,444,427,435.56,47,27,36.62,4
2026-09-19 18:50:00 to 2026-09-19 19:20:00,22,58,868,323,61,23,22,22.05,59,55,55.86,1031,794,887.24,329,311,321.86,72,55,62.62,3
2026-09-20 23:38:00 to 2026-09-21 00:08:00,23,56,530,770,56,23,23,23.0,57,55,56.0,541,467,499.89,772,755,764.22,67,51,57.56,3
2026-09-22 08:01:00 to 2026-09-22 08:31:00,20,64,544,237,35,20,19,19.23,65,59,61.06,863,465,600.94,249,229,241.0,48,28,36.55,4
2026-09-23 10:11:00 to 2026-09-23 10:41:00,26,37,1168,408,52,26,24,24.61,42,32,36.32,1168,598,800.42,426,407,416.84,64,45,55.55,1
2026-09-25 21:32:00 to 2026-09-25 22:02:00,18,45,716,607,55,18,18,18.0,45,45,45.0,716,687,699.0,615,602,608.0,55,41,46.0,2
2026-09-27 04:30:00 to 2026-09-27 05:00:00,26,36,427,320,33,26,26,26.0,36,36,36.0,427,427,427.0,320,320,320.0,33,33,33.0,3
2026-09-29 11:46:00 to 2026-09-29 12:16:00,26,50,1195,642,31,27,23,24.74,52,37,44.87,1801,845,1195.52,659,639,649.42,51,31,41.68,1
2026-09-30 19:36:00 to 2026-09-30 20:06:00,26,45,682,341,55,26,26,26.0,46,45,45.29,690,651,668.71,341,330,334.29,56,42,50.29,2
2026-10-03 01:35:00 to 2026-10-03 02:05:00,22,50,801,299,51,22,22,22.0,50,50,50.0,801,751,775.83,317,299,309.0,57,38,50.5,4
2026-10-05 07:17:00 to 2026-10-05 07:47:00,26,51,1265,639,40,26,23,24.42,57,47,52.26,1275,732,938.74,639,619,628.74,46,26,36.48,1
2026-10-06 17:33:00 to 2026-10-06 18:03:00,18,45,623,549,27,18,18,18.0,45,45,45.0,627,601,616.0,555,547,551.0,31,27,29.5,4
2026-10-07 03:37:00 to 2026-10-07 04:07:00,24,42,770,286,62,24,24,24.0,42,42,42.0,817,751,775.38,289,273,280.12,79,62,70.75,2
2026-10-07 15:55:00 to 2026-10-07 16:25:00,30,48,730,321,28,30,25,27.45,61,40,49.35,1530,591,1069.77,323,304,315.52,45,26,34.55,5
2026-10-10 00:35:00 to 2026-10-10 01:05:00,26,40,537,479,44,26,26,26.0,40,39,39.17,537,465,491.0,481,473,477.33,54,43,46.17,3
2026-10-12 03:40:00 to 2026-10-12 04:10:00,20,59,519,607,77,20,20,20.0,60,59,59.27,587,493,533.18,618,598,609.0,77,61,70.45,4
2026-10-12 11:11:00 to 2026-10-12 11:41:00,25,58,1134,619,57,26,24,24.48,58,46,52.03,1134,671,835.97,636,616,626.32,65,45,54.65,2
2026-10-13 20:48:00 to 2026-10-13 21:18:00,27,52,1508,521,56,27,23,25.03,58,39,48.13,1726,863,1245.81,533,514,524.0,71,52,64.03,1
2026-10-15 22:55:00 to 2026-10-15 23:25:00,22,47,794,731,73,23,22,22.08,48,43,44.38,904,623,729.42,746,726,734.92,78,58,67.5,3
2026-10-16 03:51:00 to 2026-10-16 04:21:00,24,56,709,206,50,24,23,23.18,59,54,56.41,732,515,619.68,222,202,211.27,65,46,55.55,4
2026-10-17 07:31:00 to 2026-10-17 08:01:00,19,57,508,306,47,19,19,19.0,57,57,57.0,508,499,503.5,306,295,300.5,59,47,53.0,4
2026-10-18 19:31:00 to 2026-10-18 20:01:00,20,55,653,397,49,21,18,19.48,63,49,55.0,1263,600,884.74,415,397,407.23,66,47,56.06,4
2026-10-20 05:55:00 to 2026-10-20 06:25:00,24,64,1380,784,76,24,19,21.1,67,49,58.42,1599,698,1162.03,804,784,793.97,77,59,67.61,1
2026-10-22 11:33:00 to 2026-10-22 12:03:00,20,59,761,753,43,20,20,20.0,59,59,59.0,767,752,759.0,753,747,750.0,50,40,45.75,5
2026-10-23 22:57:00 to 2026-10-23 23:27:00,19,46,662,389,59,19,18,18.25,52,46,48.96,949,579,698.89,400,380,390.18,73,54,62.21,4
2026-10-25 00:36:00 to 2026-10-25 01:06:00,26,50,493,576,56,26,26,26.0,51,50,50.14,527,478,493.57,590,575,582.71,64,50,57.14,3
2026-10-25 09:58:00 to 2026-10-25 10:28:00,25,56,743,247,62,26,24,25.03,64,56,59.72,865,588,709.55,262,243,250.66,75,57,65.9,2
2026-10-25 11:54:00 to 2026-10-25 12:24:00,21,55,624,497,62,21,20,20.16,59,55,57.0,826,503,598.28,500,480,490.8,71,51,63.2,3
2026-10-25 22:38:00 to 2026-10-25 23:08:00,20,56,709,803,27,20,20,20.0,57,56,56.11,761,685,717.44,806,797,801.33,46,26,36.56,5
2026-10-26 00:40:00 to 2026-10-26 01:10:00,24,43,647,248,41,24,24,24.0,44,43,43.55,709,620,648.91,251,235,243.09,41,29,34.91,4
2026-10-28 02:06:00 to 2026-10-28 02:36:00,23,42,1075,400,36,23,21,21.52,48,39,43.71,1279,806,970.52,402,382,393.16,53,35,41.58,3
2026-10-29 04:14:00 to 2026-10-29 04:44:00,21,42,1017,332,50,23,21,21.61,47,37,40.52,1264,746,944.87,334,315,324.23,60,41,50.52,4
