timePeriod,currentTemperature,currentHumidity,currentCO2,currentLight,currentNoise,maxTemp,minTemp,meanTemp,maxHumidity,minHumidity,meanHumidity,maxCO2,minCO2,meanCO2,maxLight,minLight,meanLight,maxNoise,minNoise,meanNoise,rating_score,rating
2026-04-01 21:00:00 to 2026-04-01 21:29:00,20.478,22.37,435.6,0.0,45,20.5,20.463333333333303,20.5,22.39,22.315,22.37,447.75,427.5,437.8,0.0,0.0,0.0,80,35,58.17,2.19,2
2026-04-01 21:30:00 to 2026-04-01 21:59:00,20.5,22.463333333333303,439.0,0.0,50,20.5,20.4175,20.48,22.478,22.323333333333306,22.4,445.666666666667,429.8,436.03,0.0,0.0,0.0,80,35,60.83,2.14,2
2026-04-01 22:00:00 to 2026-04-01 22:29:00,20.39,22.5,430.0,0.0,80,20.5,20.35,20.41,22.5,22.34,22.46,440.75,429.2,433.69,0.0,0.0,0.0,80,35,63.17,2.29,2
2026-04-01 22:30:00 to 2026-04-01 22:59:00,20.39,22.5,436.25,0.0,40,20.39,20.39,20.39,22.5,22.426666666666694,22.48,439.666666666667,431.333333333333,435.09,0.0,0.0,0.0,80,35,60.0,2.14,2
2026-04-01 23:00:00 to 2026-04-01 23:29:00,20.29,22.6,435.5,0.0,65,20.39,20.29,20.37,22.6,22.426666666666694,22.52,441.2,432.0,436.17,0.0,0.0,0.0,80,35,59.33,2.15,2
2026-04-01 23:30:00 to 2026-04-01 23:59:00,20.29,22.7,435.25,0.0,75,20.323333333333306,20.26,20.29,22.7,22.6,22.67,441.5,427.6,435.36,0.0,0.0,0.0,80,35,59.17,2.31,2
2026-04-02 00:00:00 to 2026-04-02 00:29:00,20.39,22.65,437.5,0.0,75,20.39,20.26,20.31,22.79,22.65,22.72,439.6,428.25,434.37,0.0,0.0,0.0,80,35,59.0,2.42,2
2026-04-02 00:30:00 to 2026-04-02 00:59:00,20.2,22.79,434.5,0.0,60,20.39,20.2,20.29,22.89,22.675,22.78,441.25,431.0,435.36,0.0,0.0,0.0,80,35,56.83,2.36,2
2026-04-02 01:00:00 to 2026-04-02 01:29:00,20.29,23.0,453.0,419.0,75,20.356666666666698,20.2,20.26,23.0,22.7,22.82,453.0,433.75,440.29,433.0,0.0,49.43,80,35,54.5,2.17,2
2026-04-02 01:30:00 to 2026-04-02 01:59:00,20.6,24.39,585.0,419.0,45,20.6,20.29,20.45,24.39,23.1,23.84,585.0,459.25,521.94,419.0,397.4,409.54,80,35,57.83,2.41,2
2026-04-02 02:00:00 to 2026-04-02 02:29:00,20.79,24.79,688.5,440.0,45,20.815,20.6666666666667,20.76,24.815,24.37,24.64,688.5,584.666666666667,638.65,440.0,419.0,425.79,80,35,56.0,2.54,3
2026-04-02 02:30:00 to 2026-04-02 02:59:00,21.1,24.89,740.8,444.0,75,21.1,20.79,20.92,25.0,24.775,24.89,746.75,686.0,718.82,444.0,429.0,438.22,80,35,55.5,2.77,3
2026-04-02 03:00:00 to 2026-04-02 03:29:00,21.356666666666698,26.79,925.5,454.0,60,21.356666666666698,21.1333333333333,21.23,26.79,24.823333333333306,26.02,926.75,745.5,835.22,460.0,439.0,449.91,80,35,60.0,2.79,3
2026-04-02 03:30:00 to 2026-04-02 03:59:00,21.66,27.83,1054.2,479.0,60,21.66,21.29,21.49,27.83,26.83,27.33,1054.2,927.6,1000.13,479.0,449.0,465.82,80,40,56.5,2.34,2
2026-04-02 04:00:00 to 2026-04-02 04:29:00,21.84,28.1,1151.5,493.0,65,21.84,21.65,21.73,28.26,27.84,28.0,1151.5,1054.8,1099.15,502.0,474.0,486.02,80,35,54.17,2.21,2
2026-04-02 04:30:00 to 2026-04-02 04:59:00,22.0,28.218000000000004,1194.2,526.0,50,22.0,21.823333333333306,21.92,28.5,28.1333333333333,28.31,1201.5,1142.0,1179.3,534.25,493.0,513.69,80,35,55.33,2.21,2
2026-04-02 05:00:00 to 2026-04-02 05:29:00,22.2,27.79,1166.0,538.0,75,22.2,22.0,22.11,28.39,27.79,28.16,1213.0,1160.83333333333,1189.62,557.666666666667,532.25,545.55,80,35,55.17,2.14,2
2026-04-02 05:30:00 to 2026-04-02 05:59:00,22.29,27.445,1066.83333333333,561.833333333333,60,22.29,22.175,22.22,27.772,27.445,27.6,1164.4,1066.83333333333,1108.49,570.0,535.714285714286,550.56,80,35,55.33,2.1,2
2026-04-02 06:00:00 to 2026-04-02 06:29:00,22.7,26.6833333333333,1023.66666666667,656.166666666667,35,22.7,22.29,22.47,27.456,26.675,27.05,1068.4,1020.4,1045.28,668.5,559.666666666667,616.08,80,35,57.5,2.28,2
2026-04-02 06:30:00 to 2026-04-02 06:59:00,23.2225,25.815,993.75,659.75,50,23.2225,22.7225,22.99,26.6,25.815,26.24,1027.25,990.2,1007.08,668.0,647.8,656.28,80,35,53.5,2.35,2
2026-04-02 07:00:00 to 2026-04-02 07:29:00,23.2,25.7225,899.75,547.0,45,23.29,23.1857142857143,23.23,25.978333333333303,25.5,25.7,998.6,895.333333333333,947.27,638.0,168.5,284.09,80,35,56.0,2.66,3
2026-04-02 07:30:00 to 2026-04-02 07:59:00,23.29,25.89,913.0,561.0,35,23.29,23.15,23.24,26.16,25.5,25.71,913.0,866.2,888.35,616.6,543.0,585.49,80,35,55.17,2.5,3
2026-04-02 08:00:00 to 2026-04-02 08:29:00,23.29,28.236,1116.0,481.6,40,23.35,23.29,23.3,28.236,26.059166666666695,27.31,1117.0,921.4,1029.6,558.8,481.6,525.4,80,35,53.0,2.36,2
2026-04-02 08:30:00 to 2026-04-02 08:59:00,23.1,29.84,1239.5,469.0,80,23.29,23.1,23.2,29.84,28.35,29.15,1239.5,1120.2,1182.78,485.0,453.0,469.66,80,35,62.33,1.97,2
2026-04-02 09:00:00 to 2026-04-02 09:29:00,22.908333333333303,30.6,1336.83333333333,454.0,80,23.085714285714303,22.89,22.97,30.6,29.856666666666698,30.24,1336.83333333333,1245.0,1293.69,469.0,454.0,462.81,80,35,56.0,2.41,2
2026-04-02 09:30:00 to 2026-04-02 09:59:00,22.79,30.81,1356.6,444.0,45,22.945,22.79,22.89,30.89,30.675,30.82,1393.16666666667,1340.0,1371.15,469.0,442.0,454.5,80,35,55.0,2.17,2
2026-04-02 10:00:00 to 2026-04-02 10:29:00,22.715,31.2,1368.33333333333,441.0,45,22.79,22.7,22.77,31.29,30.83,31.04,1381.5,1353.75,1368.09,447.0,438.0,443.0,80,35,53.0,2.55,3
2026-04-02 10:30:00 to 2026-04-02 10:59:00,22.7225,31.315,1388.0,433.0,40,22.745,22.7,22.7,31.4725,31.1666666666667,31.31,1402.25,1365.33333333333,1388.85,447.0,433.0,440.33,80,35,57.33,2.18,2
2026-04-02 11:00:00 to 2026-04-02 11:29:00,22.7,30.89,1306.33333333333,433.0,35,22.7675,22.66,22.7,31.275,30.83,31.04,1384.6,1306.33333333333,1344.81,433.0,433.0,433.0,80,35,55.67,2.31,2
2026-04-02 11:30:00 to 2026-04-02 11:59:00,22.6,30.1,1217.2,419.0,55,22.7,22.6,22.62,30.79,30.1,30.46,1300.5,1211.8,1256.9,433.0,419.0,421.98,80,35,55.5,2.51,3
2026-04-02 12:00:00 to 2026-04-02 12:29:00,21.9175,29.29,1050.75,0.0,75,22.6,21.9175,22.29,30.181666666666697,29.29,29.88,1211.5,1050.75,1143.09,419.0,0.0,41.78,80,40,59.67,2.1,2
2026-04-02 12:30:00 to 2026-04-02 12:59:00,21.6,28.56,920.2,0.0,40,21.963333333333303,21.6,21.75,29.2675,28.56,28.91,1044.0,920.2,976.11,0.0,0.0,0.0,80,35,59.5,2.19,2
2026-04-02 13:00:00 to 2026-04-02 13:29:00,21.39,27.89,820.2,0.0,35,21.6,21.39,21.52,28.5,27.89,28.22,911.333333333333,819.25,862.41,0.0,0.0,0.0,80,35,55.33,2.31,2
2026-04-02 13:30:00 to 2026-04-02 13:59:00,21.2,27.4725,750.5,0.0,45,21.39,21.2,21.27,27.89,27.4725,27.72,817.666666666667,744.0,778.68,0.0,0.0,0.0,80,35,56.0,2.43,2
2026-04-02 14:00:00 to 2026-04-02 14:29:00,21.2,26.89,692.333333333333,0.0,55,21.2,21.2,21.2,27.5,26.856666666666698,27.15,750.0,689.5,714.01,0.0,0.0,0.0,75,35,56.67,2.48,2
2026-04-02 14:30:00 to 2026-04-02 14:59:00,21.1,26.5,649.5,0.0,50,21.2,21.075,21.13,26.815,26.4725,26.66,691.5,642.25,665.81,0.0,0.0,0.0,80,35,61.67,2.3,2
2026-04-02 15:00:00 to 2026-04-02 15:29:00,21.0,26.1,612.0,0.0,50,21.08,21.0,21.02,26.478,26.1,26.27,646.6,608.75,625.27,0.0,0.0,0.0,80,35,59.83,2.43,2
2026-04-02 15:30:00 to 2026-04-02 15:59:00,20.945,25.79,582.25,0.0,45,21.0,20.926666666666694,20.99,26.1,25.79,25.92,614.75,582.25,599.44,0.0,0.0,0.0,80,35,59.0,2.46,2
2026-04-02 16:00:00 to 2026-04-02 16:29:00,20.89,25.5,571.5,0.0,65,20.963333333333303,20.865,20.89,25.79,25.5,25.64,585.0,571.5,578.5,0.0,0.0,0.0,80,35,54.33,2.59,3
2026-04-02 16:30:00 to 2026-04-02 16:59:00,20.89,25.2225,562.75,0.0,35,20.9175,20.856666666666698,20.89,25.4725,25.2,25.33,578.0,561.0,567.92,0.0,0.0,0.0,80,35,59.17,2.23,2
2026-04-02 17:00:00 to 2026-04-02 17:29:00,20.89,25.0,554.5,0.0,55,20.9175,20.89,20.89,25.2,25.0,25.1,563.4,548.5,557.73,0.0,0.0,0.0,75,35,57.0,2.21,2
2026-04-02 17:30:00 to 2026-04-02 17:59:00,20.89,24.912,548.4,0.0,55,20.89,20.83,20.88,25.0,24.856666666666698,24.93,558.5,542.333333333333,551.33,0.0,0.0,0.0,80,35,56.83,2.24,2
2026-04-02 18:00:00 to 2026-04-02 18:29:00,20.79,24.978,537.2,0.0,60,20.89,20.79,20.84,25.0,24.89,24.94,549.333333333333,535.5,541.77,0.0,0.0,0.0,80,35,56.33,2.41,2
2026-04-02 18:30:00 to 2026-04-02 18:59:00,20.79,24.956,519.6,0.0,80,20.84,20.79,20.79,25.0,24.89,24.96,541.0,518.6,528.1,0.0,0.0,0.0,80,35,56.67,2.21,2
2026-04-02 19:00:00 to 2026-04-02 19:29:00,20.7,25.1,509.666666666667,0.0,75,20.79,20.7,20.75,25.1,24.89,25.02,522.25,508.5,515.43,0.0,0.0,0.0,80,35,59.0,2.19,2
2026-04-02 19:30:00 to 2026-04-02 19:59:00,20.675,25.075,498.75,0.0,65,20.7,20.625,20.69,25.175,25.075,25.1,513.333333333333,492.333333333333,501.58,0.0,0.0,0.0,80,35,59.5,2.09,2
2026-04-02 20:00:00 to 2026-04-02 20:29:00,20.7,24.9725,478.75,0.0,65,20.7,20.65,20.7,25.1,24.963333333333303,25.02,499.0,478.75,491.64,0.0,0.0,0.0,80,35,59.0,2.28,2
2026-04-02 20:30:00 to 2026-04-02 20:59:00,20.7,24.7,482.8,0.0,75,20.745,20.7,20.7,25.0,24.7,24.82,489.333333333333,475.666666666667,483.64,0.0,0.0,0.0,80,35,55.5,2.3,2
2026-04-02 21:00:00 to 2026-04-02 21:29:00,20.7,24.6,477.333333333333,0.0,40,20.7,20.7,20.7,24.7,24.6,24.63,485.666666666667,475.25,479.36,0.0,0.0,0.0,80,35,59.33,2.41,2
2026-04-02 21:30:00 to 2026-04-02 21:59:00,20.7,24.5,475.75,0.0,65,20.7,20.7,20.7,24.6,24.5,24.58,478.666666666667,463.75,471.71,0.0,0.0,0.0,80,35,59.5,2.34,2
2026-04-02 22:00:00 to 2026-04-02 22:29:00,20.625,24.4175,467.75,0.0,70,20.7,20.62,20.69,24.5,24.412,24.49,474.75,461.333333333333,467.78,0.0,0.0,0.0,80,35,53.83,2.3,2
2026-04-02 22:30:00 to 2026-04-02 22:59:00,20.62,24.412,467.6,0.0,75,20.7,20.6,20.65,24.5,24.39,24.44,473.25,455.25,463.96,0.0,0.0,0.0,80,35,55.67,2.6,3
2026-04-02 23:00:00 to 2026-04-02 23:29:00,20.6,24.2,465.75,0.0,75,20.66,20.6,20.61,24.4175,24.2,24.31,469.75,456.0,462.99,0.0,0.0,0.0,80,35,55.67,2.31,2
2026-04-02 23:30:00 to 2026-04-02 23:59:00,20.6,24.05,465.75,0.0,35,20.6666666666667,20.52,20.59,24.2,24.033333333333303,24.16,468.0,457.0,464.09,0.0,0.0,0.0,80,35,54.5,2.58,3
2026-04-03 00:00:00 to 2026-04-03 00:29:00,20.5,24.1,468.0,0.0,50,20.625,20.5,20.53,24.2,24.0,24.1,473.5,461.4,466.48,0.0,0.0,0.0,80,35,56.0,2.5,3
2026-04-03 00:30:00 to 2026-04-03 00:59:00,20.4725,23.7675,473.75,433.0,50,20.5,20.39,20.45,24.1,23.7,23.88,474.75,461.4,470.02,433.0,0.0,40.9,80,35,57.83,2.31,2
2026-04-03 01:00:00 to 2026-04-03 01:29:00,20.81,25.02,616.4,419.0,40,20.81,20.481666666666698,20.65,25.02,23.89,24.41,616.4,484.5,545.04,423.666666666667,398.333333333333,412.05,80,35,53.0,2.42,2
2026-04-03 01:30:00 to 2026-04-03 01:59:00,21.0,25.245,714.5,460.0,55,21.0,20.823333333333306,20.91,25.412,25.033333333333303,25.29,721.4,621.0,676.32,460.0,419.0,436.69,80,35,56.17,2.56,3
2026-04-03 02:00:00 to 2026-04-03 02:29:00,21.5,26.0,849.25,534.0,50,21.5,21.0,21.2,26.0,25.1,25.34,849.25,705.0,760.4,534.0,451.6,473.99,80,35,58.17,2.64,3
2026-04-03 02:30:00 to 2026-04-03 02:59:00,22.6,25.4725,945.0,1419.5,50,22.6,21.5,22.11,26.39,25.4725,25.99,950.333333333333,860.6,929.02,1419.5,538.0,623.95,80,35,60.67,2.57,3
2026-04-03 03:00:00 to 2026-04-03 03:29:00,23.7,26.12,1119.0,737.8,45,23.7,22.7,23.17,26.12,25.315,25.57,1119.0,951.75,1010.69,1697.25,679.4,762.34,80,35,56.33,2.55,3
2026-04-03 03:30:00 to 2026-04-03 03:59:00,24.33,25.736,1129.2,809.8,45,24.33,23.718000000000004,24.07,26.5666666666667,25.7,26.09,1213.75,1122.5,1157.95,809.8,740.5,779.14,80,40,55.83,2.12,2
2026-04-03 04:00:00 to 2026-04-03 04:02:00,24.408333333333303,25.681666666666697,1124.0,798.0,50,24.408333333333303,24.33,24.36,25.7,25.681666666666697,25.69,1125.8,1123.0,1124.27,817.0,798.0,809.33,80,50,63.33,2.2,2
